,Aang,Garp,Gascon,Gernham,Iroh,Jak Horner,Katara,Lady Maria,Le chasseur,Le loup,Ludwig,Luffy,Morpheus,Néo,Oogway,Po,Reine Meve,Seigneur skaven,Shen,Shifu,Smith,Tai lung,Tigresse,Toph,Venin,Violet,Xaden,Zorro,Zuko
Néo,64.7,51.5,87.6,44.9,87.5,50.1,76.3,78.0,44.3,64.5,76.8,63.5,59.1,,44.4,50.9,86.5,75.9,75.5,69.9,77.1,62.9,62.3,61.9,62.4,63.8,52.7,61.7,76.9
Oogway,71.1,57.9,90.2,79.8,89.4,52.9,80.9,81.3,80.5,68.9,79.8,69.6,61.1,55.6,,57.3,89.9,81.1,82.2,75.7,80.5,69.5,70.6,68.0,68.1,68.2,56.9,68.9,78.7
Po,60.1,51.9,82.1,31.5,42.4,47.0,72.0,74.0,41.9,61.0,72.8,60.1,45.6,49.1,42.7,,81.5,70.8,71.5,65.7,69.0,45.7,59.8,60.5,59.6,61.8,49.2,58.5,74.1
Reine Meve,19.1,17.5,50.4,6.7,31.9,16.8,30.6,29.2,29.3,17.7,31.0,20.4,7.2,13.6,10.1,18.4,,30.1,29.9,22.6,30.4,13.2,18.7,19.2,19.6,19.9,13.6,18.9,31.5
Seigneur skaven,32.1,49.5,67.7,51.2,67.9,28.0,50.6,51.1,68.8,37.0,51.0,30.4,20.5,24.1,18.9,29.2,69.9,,48.3,47.7,50.1,29.6,32.0,31.4,28.9,31.9,69.3,31.9,50.4
Shen,30.3,26.7,68.8,19.3,49.3,27.4,49.5,49.5,52.0,36.7,50.0,30.9,16.1,24.6,17.8,28.5,70.1,51.7,,42.0,50.2,20.8,28.7,31.0,30.5,30.9,25.4,29.9,48.5
Shifu,40.9,33.5,76.7,14.5,42.0,33.5,59.3,58.8,39.7,46.5,58.3,41.4,24.6,30.1,24.3,34.3,77.4,52.3,58.0,,55.8,27.1,38.8,40.4,40.1,40.0,29.4,38.8,58.8
Smith,30.5,49.9,69.7,38.5,54.0,28.5,50.1,50.8,55.5,37.1,48.7,29.8,21.1,22.9,19.5,31.0,69.6,49.9,49.8,44.2,,35.2,30.8,30.2,29.6,29.5,58.4,29.8,50.3
Tai lung,65.5,57.1,87.4,19.5,49.9,52.5,79.5,78.2,50.1,67.8,79.0,65.0,48.8,37.1,30.5,54.3,86.8,70.4,79.2,72.9,64.8,,65.3,61.4,63.6,64.2,51.3,65.6,79.3
Tigresse,50.2,41.4,79.6,50.3,47.2,38.5,69.1,66.7,50.5,56.4,68.8,50.0,33.2,37.7,29.4,40.2,81.3,68.0,71.3,61.2,69.2,34.6,,48.9,50.2,50.0,38.9,50.0,68.5
Toph,50.4,40.4,80.3,19.8,50.0,37.4,67.9,68.8,49.0,54.6,69.7,49.3,30.7,38.1,32.0,39.5,80.8,68.6,69.0,59.6,69.8,38.6,51.1,,50.0,50.9,39.9,51.0,67.7
Venin,50.3,41.4,82.3,18.3,31.9,37.2,69.5,70.4,29.8,55.8,68.9,48.7,31.7,37.6,31.9,40.4,80.3,71.0,69.5,59.9,70.4,36.4,49.8,50.0,,50.9,38.1,49.9,69.0
Violet,51.7,42.9,80.0,6.2,50.0,37.7,68.7,67.4,49.9,56.1,70.0,50.4,31.6,36.2,31.8,38.2,80.1,68.1,69.2,60.0,70.5,35.8,50.0,49.1,49.1,,39.0,50.1,67.7
Xaden,62.1,51.2,86.3,16.0,41.0,47.6,75.2,76.5,42.8,65.2,76.1,61.8,45.8,47.3,43.1,50.8,86.4,30.7,74.7,70.5,41.6,48.7,61.1,60.1,61.9,61.0,,61.8,76.1
Zorro,49.6,42.4,80.3,19.3,48.3,37.9,69.2,69.1,49.9,54.8,70.9,49.8,31.8,38.3,31.1,41.5,81.0,68.1,70.1,61.2,70.2,34.4,50.0,49.0,50.1,49.9,38.2,,69.3
Zuko,31.6,27.3,67.7,49.8,49.9,27.9,49.0,49.1,50.1,36.4,49.0,31.9,15.3,23.1,21.3,25.9,68.5,49.6,51.5,41.2,49.7,20.7,31.5,32.3,31.0,32.3,23.9,30.7,
