,Aang,Garp,Gascon,Gernham,Iroh,Jak Horner,Katara,Lady Maria,Le chasseur,Le loup,Ludwig,Luffy,Morpheus,Néo,Oogway,Po,Reine Meve,Seigneur skaven,Shen,Shifu,Smith,Tai lung,Tigresse,Toph,Venin,Violet,Xaden,Zorro,Zuko
Shifu,41.5,34.2,77.8,13.2,40.1,33.7,57.1,59.3,39.4,45.9,58.3,39.6,23.6,29.9,23.1,35.2,76.6,52.5,58.7,,55.1,27.4,39.5,40.5,38.2,41.2,31.1,38.1,60.6
Smith,30.1,50.2,67.8,36.7,53.3,26.2,50.6,51.0,55.5,36.4,49.5,31.0,22.2,25.1,19.0,31.7,68.5,49.6,49.4,44.9,,34.0,30.3,30.7,29.1,32.5,55.4,31.2,50.1
Tai lung,64.5,56.2,86.8,20.8,48.6,50.0,78.9,78.9,48.9,69.5,80.6,65.1,50.0,36.1,29.6,52.9,86.4,68.0,78.7,72.5,66.0,,64.8,61.9,65.5,62.5,55.9,65.8,78.7
Tigresse,51.4,40.6,81.0,51.8,49.2,37.5,69.8,68.8,50.1,54.3,69.8,49.4,31.6,37.0,31.9,39.8,80.8,68.8,69.7,60.5,69.7,35.2,,51.0,50.8,50.1,36.4,49.3,69.0
Toph,50.4,43.1,81.4,19.3,48.6,38.5,68.5,68.3,50.6,54.4,69.2,47.3,31.6,37.7,31.9,38.5,81.0,69.0,70.3,59.5,69.3,38.1,49.0,,49.3,51.1,37.8,51.5,69.3
Venin,50.6,41.5,80.5,18.6,31.3,37.8,70.4,69.5,30.8,55.4,68.5,49.8,30.8,39.4,29.4,39.5,80.5,70.2,69.4,61.8,70.9,34.5,49.2,50.7,,50.2,38.3,49.9,71.2
Violet,49.7,41.5,82.2,6.9,50.0,38.4,68.9,70.4,49.6,54.6,70.8,49.4,30.8,37.0,30.4,39.5,79.8,70.5,69.3,58.8,67.5,37.5,49.9,48.9,49.8,,38.4,50.7,68.7
Xaden,62.0,53.9,86.8,16.2,42.4,48.2,76.3,75.8,42.4,66.0,74.8,63.4,43.7,49.8,42.2,50.3,86.5,31.2,74.3,68.9,44.6,44.1,63.6,62.2,61.7,61.6,,59.8,76.7
Zorro,50.6,41.5,81.4,19.8,49.0,36.5,69.9,68.7,49.0,54.2,71.6,51.6,32.4,37.3,29.7,40.0,82.6,69.5,69.9,61.9,68.8,34.2,50.7,48.5,50.1,49.3,40.2,,66.9
Zuko,29.9,27.9,67.8,48.0,49.8,27.4,50.1,50.8,49.5,36.2,50.1,31.4,15.6,24.0,19.4,27.1,70.2,50.5,50.8,39.4,49.9,21.3,31.0,30.7,28.9,31.3,23.3,33.1,
